depth,Kanaldurchmesser_unten_um,Vol_%,gs_phi,Vol_clr_mean,Vol_clr_median,Vol_clr_std
20.0,0.0439105,0.000247403,14.47507451220161,-7.35408051119205,-7.35408051119205,1.8544398170833265
20.0,0.0482033,0.000419329,14.340508557635813,-6.3326416275623485,-6.3326416275623485,1.1560988195300186
20.0,0.0529158,0.000843815,14.205941916970517,-5.465562993642262,-5.465562993642262,0.9187921258259367
20.0,0.0580889,0.00174709,14.071377963903002,-4.771369157617658,-4.771369157617658,0.9662810119538129
20.0,0.0637679,0.00337902,13.936810103188618,-4.144643614805409,-4.144643614805409,1.012820852863023
20.0,0.070002,0.00589602,13.80224433310974,-3.516260711017547,-3.516260711017547,0.9114343504148668
20.0,0.0768455,0.00910902,13.6676796949081,-2.929649688111068,-2.929649688111068,0.697006427276253
20.0,0.0843581,0.0129689,13.533113872802678,-2.438097053243202,-2.438097053243202,0.5014721935390654
20.0,0.0926052,0.0176417,13.398547267953667,-2.026754583970269,-2.026754583970269,0.3549154953966445
20.0,0.101658,0.0235888,13.263988626676865,-1.6644031336373528,-1.6644031336373528,0.25331154115906873
20.0,0.111597,0.0306264,13.129414135028378,-1.345448706863972,-1.345448706863972,0.1714793917290186
20.0,0.122507,0.0383795,12.994848192960312,-1.072111740105119,-1.072111740105119,0.10405550716599846
20.0,0.134483,0.0469879,12.86028856636446,-0.8301872503199297,-0.8301872503199297,0.04811228620222378
20.0,0.147631,0.0573378,12.725716684910308,-0.5997121547498327,-0.5997121547498327,0.003698732161162989
20.0,0.162064,0.0696152,12.591148725396932,-0.3784600983048767,-0.3784600983048767,0.034809191897478185
20.0,0.177907,0.0838993,12.456589102971321,-0.1680968354857706,-0.1680968354857706,0.06836696220749747
20.0,0.1953,0.100573,12.322020430324745,0.03400499182452332,0.03400499182452332,0.09783247725634756
20.0,0.214393,0.121131,12.187454577439166,0.23616117715293816,0.23616117715293816,0.12069665159526013
20.0,0.235353,0.146041,12.052886136645343,0.43559270082234525,0.43559270082234525,0.13825655115289076
20.0,0.258361,0.174499,11.918324070171769,0.6237955388019789,0.6237955388019789,0.1526408442840929
20.0,0.283619,0.205255,11.783758195746348,0.794217316769374,0.794217316769374,0.1640785515411262
20.0,0.311346,0.237298,11.64919363515756,0.9459612424677046,0.9459612424677046,0.17352592100730074
20.0,0.341784,0.270799,11.514627518114517,1.0833228767077934,1.0833228767077934,0.18102340422794908
20.0,0.375198,0.306391,11.38006024198873,1.2113971380879494,1.2113971380879494,0.18751329472890962
20.0,0.411878,0.345037,11.24549531121787,1.3332414496840839,1.3332414496840839,0.19183331836127132
20.0,0.452145,0.387176,11.110926869665022,1.4500614641147642,1.4500614641147642,0.1940851735554824
20.0,0.496347,0.432711,10.97636330702916,1.5616454354224372,1.5616454354224372,0.19464134505664582
20.0,0.544872,0.481903,10.841795024254486,1.6691387238146493,1.6691387238146493,0.19438750515659067
20.0,0.59814,0.535034,10.707229179964555,1.7730196787029686,1.7730196787029686,0.19338837401518347
20.0,0.656615,0.592795,10.572664671706132,1.8742070528869021,1.8742070528869021,0.1915060996949449
20.0,0.720807,0.655545,10.438099357831614,1.973056609344415,1.973056609344415,0.18900470255919233
20.0,0.791275,0.72365,10.30353320294686,2.07006375347748,2.07006375347748,0.18641138106052313
20.0,0.868632,0.79761,10.168967277562471,2.165905923278246,2.165905923278246,0.18433286005549726
20.0,0.953552,0.878483,10.03440076445499,2.261353061442949,2.261353061442949,0.18273527683803203
20.0,1.04677,0.967316,9.899839801620729,2.35699534836914,2.35699534836914,0.18176458505904758
20.0,1.14911,1.0642,9.765267376270275,2.452323270294128,2.452323270294128,0.18158713760427575
20.0,1.26145,1.1687,9.630701261210834,2.5467343375491414,2.5467343375491414,0.18263703628708108
20.0,1.38477,1.28056,9.496137909408768,2.6396589725660187,2.6396589725660187,0.18478547094782322
20.0,1.52015,1.39979,9.36157059679652,2.7308029940526657,2.7308029940526657,0.18778258316517127
20.0,1.66876,1.52594,9.227007802524259,2.819594811570305,2.819594811570305,0.1913229668027582
20.0,1.8319,1.65778,9.092443533105898,2.9053790097804475,2.9053790097804475,0.19544604124671575
20.0,2.011,1.794,8.957871203018822,2.987610760021819,2.987610760021819,0.20006110733385135
20.0,2.2076,1.93321,8.823305494019841,3.0657997187563977,3.0657997187563977,0.20494705768414567
20.0,2.42342,2.07392,8.688739826464873,3.1394433094514262,3.1394433094514262,0.20973401246074075
20.0,2.66033,2.21394,8.554179069073188,3.2079717618639805,3.2079717618639805,0.21425278544745016
20.0,2.92042,2.35074,8.419608419548556,3.2709400004949405,3.2709400004949405,0.21851211396022513
20.0,3.20592,2.4819,8.285045859495044,3.3280394845794325,3.3280394845794325,0.22247935127362528
20.0,3.51934,2.60542,8.150479386482726,3.3790977011935652,3.3790977011935652,0.22599893550916225
20.0,3.8634,2.71922,8.015913228852217,3.423798668979853,3.423798668979853,0.22875634638024744
20.0,4.2411,2.82065,7.881345784325423,3.4617679003933755,3.4617679003933755,0.23066122281875132
20.0,4.65572,2.90738,7.746779989035808,3.4928084394157475,3.4928084394157475,0.23172974867391544
20.0,5.11087,2.9781,7.612215389223115,3.5170710535822938,3.5170710535822938,0.23205421575443425
20.0,5.61052,3.03279,7.4776497942817235,3.534873793083221,3.534873793083221,0.2314959759532618
20.0,6.15902,3.07141,7.343083471666689,3.546423156822436,3.546423156822436,0.22993413563854392
20.0,6.76114,3.09372,7.2085177639409865,3.551931764939413,3.551931764939413,0.22748909805896272
20.0,7.42212,3.09931,7.073952958107196,3.5517171188075474,3.5517171188075474,0.22463252541866555
20.0,8.14773,3.08858,6.939386111687087,3.546380965246913,3.546380965246913,0.22199065307465124
20.0,8.94427,3.06261,6.804820545297883,3.536478208760066,3.536478208760066,0.2199275817553471
20.0,9.81869,3.02178,6.670253730241701,3.522307843508246,3.522307843508246,0.2188684299997824
20.0,10.7786,2.96568,6.535686386844111,3.5040008335304598,3.5040008335304598,0.21948036483311598
20.0,11.8323,2.89378,6.401125653199968,3.482163395510043,3.482163395510043,0.22330624313632852
20.0,12.9891,2.80585,6.266554718228267,3.4568704586819674,3.4568704586819674,0.2311751335443677
20.0,14.2589,2.69683,6.131993500121705,3.424865096171896,3.424865096171896,0.2419573122686544
20.0,15.6529,2.55364,5.997426220921714,3.3770308212385616,3.3770308212385616,0.25146498792071575
20.0,17.1832,2.35838,5.86285745747583,3.298790023593722,3.298790023593722,0.2533091959663044
20.0,18.863,2.10273,5.728297047116338,3.176358228104165,3.176358228104165,0.24242915139033927
20.0,20.7071,1.80663,5.593730669464664,3.0063929519481007,3.0063929519481007,0.21670176826571022
20.0,22.7315,1.52055,5.459163302312336,2.810365806282877,2.810365806282877,0.18327538001159033
20.0,24.9538,1.30463,5.324596661838943,2.6419971010702112,2.6419971010702112,0.16175660834543734
20.0,27.3934,1.19678,5.190027848933399,2.5623747868662723,2.5623747868662723,0.17117886927474668
20.0,30.0714,1.19551,5.055464154385576,2.589656751076221,2.589656751076221,0.21126292623805482
20.0,33.0113,1.25961,4.920896236109048,2.6721552396761767,2.6721552396761767,0.25407005628693174
20.0,36.2385,1.31543,4.78633294982513,2.7312408850376166,2.7312408850376166,0.2763074137065474
20.0,39.7813,1.28529,4.651765767476664,2.703579709695613,2.703579709695613,0.2699689922625256
20.0,43.6704,1.12713,4.517200444198726,2.5419686770863534,2.5419686770863534,0.22711657097363117
20.0,47.9397,0.861281,4.382635308945094,2.1946927493328428,2.1946927493328428,0.11643047965753356
20.0,52.6264,0.562719,4.248069481620558,1.5992954937381616,1.5992954937381616,0.12364193355932007
20.0,57.7713,0.325983,4.113503230453252,0.6903372539578241,0.6903372539578241,0.6370340980320615
20.0,63.4192,0.201863,3.978936511060696,-0.5479189065547252,-0.5479189065547252,1.7104224425150092
20.0,69.6192,0.18085,3.844370953746222,-2.2528710590180614,-2.2528710590180614,3.9661367190762618
20.0,76.4253,0.0,3.7098058794938464,-6.727372685330227,-6.727372685330227,0.19500258042748078
20.0,83.8969,0.0,3.575238685870684,-6.727372685330227,-6.727372685330227,0.19500258042748078
20.0,92.0988,0.0,3.440673830910096,-6.727372685330227,-6.727372685330227,0.19500258042748078
20.0,101.103,0.0,3.3061022883397184,-6.727372685330227,-6.727372685330227,0.19500258042748078
